study,Journal,Start Date,End Date,Country,Income,Region,WHO_Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),"Does the study meet any of the listed exclusion criteria (see covidence/protocol(?  IF YES to any, please do not proceed and send Brad Covidence #",ARDS,Mechanical Ventilation,ICU ,Smokers,COPD,CVD,Diabetes,Dialysis,Malignancy,Immunocompromised,"Patients identified to have growth of significant bacteria in the respective appropriate culture specimens (e.g., urine, tracheal aspirate, and blood from the central line, etc.) collected during admission were included.",Testing,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site_specific,body_site,patients_eval,coinfection,secondary_infection,bacterial_infection_unspecified,Resistant co-infection,Resistant secondary infection,resistant unknown bacterial infection,Bacteria names specified?,Susceptibility_reported,AMR_Prev_Evaluable?,Resistant_pts_total,NonR_pts_total,UnknownR_pts_total,Pts_Denom,Resistant_organisms,Non-Resistant organisms,Unknown organism resistance,Orgs_Denom,blood_organisms_total,blood_R_organisms_total,resp_organisms_total,resp_R_organisms_total,urine_organisms_total,urine_R_organisms_total,skin_organisms_total,skin_R_organisms_total,other_site_organism_total,other_R_organisms_total,unknown_site_total,unknown_site_R_total,Mycoplasma,Chlamydia,Legionella,SA,blood_SA,resp_SA,urine_SA,skin_SA,other_SA,SA_R,MRSA,VRSA,S_pneumo,blood_Strepp,resp_Strepp,urine_Strepp,other_Strepp,S_pneumo_R,S_pneumo_pen_R,S_pneumo_FQ_R,Enterococcus,blood_Enterococcus,resp_Enterococcus,urine_Enterococcus,skin_Enterococcus,other_enterococcus,Enterococcus_R,Haemophilus_isolates,blood_Hflu,resp_Hflu,urine_Hflu,skin_Hflu,Hflu_R_isolates (AmpR Hflu),Psa,blood_Psa,resp_Psa,urine_Psa,skin_Psa,other_Psa,Psa_R,Psa_ESBL,Psa_CR,Psa_ColR,Psa_MDR,Kleb,blood_Kleb,resp_Kleb,urine_Kleb,skin_Kleb,other_kleb,Kleb_R,Kleb_ESBL,Kleb_CR,Kleb_ColR,Kleb_MDR,Ecoli,blood_EColi,resp_EColi,urine_EColi,skin_EColi,other_EColi,EColi_R,Ecoli_ESBL,Ecoli_CR,Ecoli_ColR,Ecoli_MDR,Acineto,blood_Acineto,resp_Acineto,urine_Acineto,skin_Acineto,other_Acineto,Acineto_R,Acineto_CR,Acineto_ColR,Acineto_MDR,Ebacter,blood_Ebacter,resp_Ebacter,urine_Ebacter,skin_Ebacter,Ebacter_R_isolates,Ebacter_ESBL,Ebacter_CR,Ebacter_ColR,Ebacter_MDR,CNST,CNST_blood,CNST_resp,CNST_other,Citrobacter,blood_Citrobacter,resp_Citrobacter,urine_Citrobacter,skin_Citrobacter,other_Citro,C_bacter_R_,MDR Citrobacter,Moraxella,blood_Morax,resp_Morax,urine_Morax,skin_Morax,Steno,blood_Steno,resp_Steno,urine_Steno,skin_Steno,other_Steno,Steno_MDR,Serratia,blood_Serratia,resp_Serratia,urine_Serratia,skin_Serratia,Serratia_R,Serratia_ESBL,Serratia_CR,Serratia_ColR,Strep not-Pneumo,Proteus,blood_Proteus,resp_Proteus,urine_Proteus,skin_Proteus,other_proteus,Proteus_R,Proteus_ESBL,Proteus_CR,Proteus_ColR,Proteus_MDR,Other GN,Other GP,Other not reported,C difficile  - Don't count towrds other columns (pts),Other bacteria not previously reported,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the study’s target population a close representation of the national population in relation to relevant variables? ,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3 Was some form of random selection used to select the sample, OR, was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,bias,Quality_score,"Did this study evaluate bacterial co-infection or secondary infection outcomes compared to non-coinfection or non-secondary infection clinical outcomes? (i.e, mortality or LOS)",Mortality difference,LOS difference,Adjusted? (at minimum age),Mortality OR/HR Co-infection,LCL (Mortality OR/HR Co-infection),UCL (Mortality OR/HR Co-infection),Mortality OR/HR Secondary Infection,LCL (Mortality OR/HR Secondary Infection),UCL (Mortality OR/HR Secondary Infection),Mortality OR/HR unspecified/both types Infection,LCL (Mortality OR/HR unspecified/both types Infection),UCL (Mortality OR/HR unspecified/both types Infection),Infection_Type,Infection_Prevalence,I_Prev_Sensi_exclude,AMR_Prevalence_Overall,AMR_Prevalence_Select
"Risa E, 2021",J Intensive Care Med,01/01/2020,12/31/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital ICU,126,"Critically Ill, on MV with ARDS",59,Mean,38,Critical,Yes,No,126,126,126,,7,22,56,,,,,Culture,"All bacterial cultures collected during routine clinical care were reviewed. Positive cultures that occurred within the first 48 hours after hospitalization were excluded to capture only nosocomial infections. Blood cultures growing normal skin flora (for example, Coagulase-negative staphylococci [CoNS], diptheroids) were only included if they were drawn from 2 separate sites concordantly or in consecutive days.  Urine cultures had to meet a threshold of >100,000 colony forming units per milliliter for inclusion, and were further assessed for meeting National Healthcare Safety Network (NHSN) criteria.Respiratory cultures growing normal oral flora, â€œmixed flora,â€ and yeast were excluded, as were isolates which were not speciated out (for example, â€œGNRsâ€). ",Yes,"resp, blood, urine, wound, stool",multiple,126,,77,,,,,Yes,Yes,No,,,,,9,39,123,171,29,1 MRSA,113,6 MRSA,24,,5,2 MRSA (wound),,,,,,,,48,6,40,,2 (wound),,9,9,0,2,,2,,,,,,20,7,5,7,1 (wound),,,2,2,,,,,8,,5,3,,,,,,,,32,2,22,7,1 (wound),,,,,,,8,1,3,4,,,,,,,,1,,1,,,,,,,,3,,3,,,,,,,,7,7,,,6,,4,2,,,,,,,,,,3,,3,,,,,11,2,8,1,,,,,,8,1,,1,,,,,,,,,7,4,,3,"Burkholderia cepacia=5, Comamonas kerstersii=1, Cornynebacterium spp=3, Granulicatella adiacens=1, Nocardia nova=1",,,122,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,10,Yes,"Patients with secondary bacterial infections had higher mortality (37/77, 48%) vs those without (20/49, 40.8%) but this was not statistically significant (P=0.34).",No,No,,,,,,,,,,Secondary,Y,,N,Y
"Ritter LA, 2021",J Intensive Care Med,03/01/2020,06/30/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital ICU,135,Hospital ICU,52.3,Mean,40,Critical,Yes,No,,112,135,,,,,,,,,Culture,"Bloodstream infection was defined as positive blood culture without clear evidence of contamination. Respiratory infection was defined as a pathogen not considered to be a member of the normal respiratory flora isolated from the lower respiratory tract (sputum, tracheal aspirate, bronchoalveolar lavage). Urinary tract infection was defined as a pathogen obtained from the urine with greater than 100,000 colony forming units. Yeast in the sputum or urine was excluded.",Yes,"resp, blood, urine",multiple,135,,85,,,,,Yes,No,No,,,85,85,,,181,181,54,,111,,16,,,,,,,,,,,30,5,25,,,,,,,2,1,1,,,,,,11,10,,1,,,,,,,,,,23,4,17,2,,,,,,,,38,5,27,6,,,,,,,,28,7,16,5,,,,,,,,8,2,6,,,,,,,,1,,1,,,,,,,,10,10,,,,,,,,,,,,,,,,2,,2,,,,,9,1,7,1,,,,,,10,4,,3,1,,,,,,,,,,5,,"Staphylococcus schleiferi=1, Bacillus cereus=2, Ralstonia picketti=1, Morganella morgani =1,",74,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,10,Yes,"The presence of secondary infection was not associated with the likelihood of 28-day mortality in an age-adjusted Cox proportional hazard estimate (HR 0.66, CI 0.33-1.35, P= 0.26)",No,Yes,,,,0.66,0.33,1.35,,,,Secondary,Y,,N,N
"Rothe K, 2020",European Journal of Clinical Microbiology & Infectious Diseases,02/16/2020,04/22/2020,Germany,HIC,Europe,Europe,Retrospective Cohort,Hospital,140,,63.5,Median,50,Moderate - Severe,Yes,No,,41,50,,7,26,30,,29,20,"HIV=5, immunosuppressive meds=15",Culture + Urine Ag,"Urine samples were used for lateral flow antigen test detection of Legionella pneumophila serogroup 1 and Streptococcus pneumoniae. For microbiological workup, blood was inoculated into aerobic and anaerobic BC media. Primary microbiological cultures of respiratory samples were performed on Columbia agar, Schaedler agar, and Chocolate agar",Yes,"resp, blood, urine",multiple,140,8,,38,,,,Yes,Yes,Yes,,,,,2,6,46,54,17,2 VRE,37,,,,,,,,,,,,,6,2,4,,,,0,0,0,,,,,,,,,3,3,,,,,2,,,,,,,3,1,2,,,,0,,,,0,15,3,12,,,,0,,,,0,9,2,7,,,,0,,,,0,,,,,,,,,,,1,,1,,,,,,,,6,6,,,3,,3,,,,0,0,,,,,,,,,,,,,4,,4,,,0,,,,,3,,3,,,,0,,,,,1,,,,Morganella morganii=1,,,116,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,moderate,7,No,-,-,-,,,,,,,,,,Unspecified,Y,,Y,Y
"Rouyer M, 2021",Antibiotics,03/01/2020,05/01/2021,Germany,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,79,"Critically Ill, on MV",61.8,Weighted mean,24,Critical,Yes,No,,79,79,,10,,23,,4,,,Culture,"To achieve a VAP diagnosis, all patients suspected of having VAP will receive alveolar bronchoscopy, and bacterial cultures are obtained from bronchoalveolar lavage (BAL). VAP is confirmed when bacterial cultures from BAL are positive and have significant quantitative growth (at least 104 colony-forming units/mL).",Yes,resp,resp,79,,42,,,,,Yes,No,No,,,42,42,,,50,50,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12,,,,31,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,low,8,Yes,COVID-19 patients with VAP had 52% mortality in the ICU compared with 43% for COVID-19 patients without VAP.,Length of stay was longer in COVID-19 patients with VAP than in COVID-19 patients without VAP (31 vs. 13 days),No,,,,,,,,,,Secondary,Y,,N,N
"Rouze A, 2021 (1)",Am J Respir Crit Care Med,02/01/2020,05/31/2020,"Europe (France, Spain, Greece, Portugal, Ireland)",HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,568,,64,Median,161,Critical,Yes,No,386,568,568,29,37,103,168,,,52,,Culture + NAAT,"Bacterial identification was defined by a positive bacterial culture within 48 hours after intubation in endotracheal aspirates, BAL, blood cultures, or a positive pneumococcal or legionella urinary antigen test",No,"resp, blood",multiple,568,55,,,,,,Yes,Yes,No,1,13,41,55,1,13,44,58,,,,,,,,,,,,,,,,14,,,,,,1,1,,12,,,,,,,,1,,,,,,,5,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,1,,,,1,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,4,1,,,,,,,,,,,,,4,,,,,494,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,7,Yes,"adjusted HR, 1.57; 95% CI, 1.01â€“2.44; P = 0.043",N/A,"Yes, adjusted for sex, SAPS II, body mass index, MacCabe classification, shock, acute respiratory distress syndrome (ARDS), cardiac arrest, antibiotic treatment at ICU admission, and ventilator-associated pneumonia (treated as a time-varying variable",1.57,1.01,2.44,,,,,,,Co-infection,Y,,N,Y
"Rouze A, 2021 (2)",Intensive Care Med,not specified,05/31/2020,"Europe (France, Spain, Greece, Portugal, Ireland)",HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,568,"Critically Ill, on MV",64,Median,161,Critical,Yes,No,386,568,568,29,37,103,168,,,52,,Culture,"all episodes of infection needed microbiological confrmation, with the isolation in the endotracheal aspirate of at least 105 colony-forming units (CFU) per mL, or in bronchoalveolar lavage of at least 104 CFU per mL",Yes,resp,resp,568,,287,,,,,Yes,Yes,No,,,287,287,75,27,304,406,,,406,"67 ""MDR"" isolates, 8 MRSA",,,,,,,,,,,,35,,35,,,,8,8,,8,,8,,,,,,9,,9,,,,,3,,3,,,,64,,64,,,,,,,,,33,,33,,,,,,,,,24,,24,,,,,,,,,21,,21,,,,,,,,54,,54,,,,,,,,,,,,14,,14,,,,,,,,,,,10,,10,,,,,9,,9,,,,,,,4,5,,5,,,,,,,,,3,,15,,"Morganella morganii=3, polymicrobial=28, MDR isolates=67",202,,506,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,No,-,-,-,,,,,,,,,,Secondary,Y,,N,Y
"Ruiz-Bastian M, 2021",Diagn Microbiol Infect Dis,03/01/2020,04/01/2020,Spain,HIC,Europe,Europe,Retrospective Cohort,Hospital,1195,,not specified,,not speciified,not specified,Yes,No,,,,,,,,,,,,Culture,Respiratory samples in ICU patients were obtained and cultured for bacteria at least 48 hours after admission.,Yes,resp,resp,1195,,66,,,,,Yes,Yes,Yes,,,66,66,24,27,23,74,,,74,24,,,,,,,,,,,,18,,18,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,17,,17,,,,2,,2,,,15,,15,,,,,,,,,9,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,8,,,37,31,66,No or unclear,No or unclear,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,moderate,6,No,,,,,,,,,,,,,Secondary,Y,,Y,Y
"Saade A, 2021",Ann Intensive Care,03/10/2020,05/10/2020,France,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,100,,59,Median,27,Severe/Critical,Yes,No,,54,100,,2,18,27,,24,10,SOT,Culture,"Peripheral and catheter blood cultures, cytobacteriological examination of the urine, nasopharyngeal swab RespiFinderÂ® SMART-22 FAST assay (Pathofinder), cytobacteriological examination of the sputum, tracheal suction or protected distal swab in case of intubation were performed in case of clinical suspicion of sepsis",Yes,"resp, blood",multiple,100,7,29,,,,,Yes,No,No,,,36,36,,,41,41,5,,36,,,,,,,,,,,,,7,,7,,,,,,,,,,,,,,,1,1,,,,,,5,,5,,,,9,1,8,,,,,,,,,6,1,5,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,1,,1,,,2,,2,,,,,2,,2,,,,,,,2,,,,,,,,,,,,1,1,,,,33,5,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,low,8,No,,,,,,,,,,,,,Both,Y,,N,N
"Saeed N, 2021",World J Virol,02/01/2020,10/31/2020,Bahrain,HIC,Middle East,Eastern Mediterranean,Retrospective Cohort,hospital,1380,"only those with ""suspected sepsis"" where w/u was sent",50.2,mean,719,all combined,yes,no,,,,,,,,,,,,Culture,"clinical specimens - blood, sputum, stool, ETT, BAL, according to clinical indications. bacterial culture/MALDI performed w sensis per CLSI",Yes,"blood, resp, stool, BAL, endotracheal aspirate mentioned",multiple,1380,98,185,,27,80,,yes,yes,Yes,,,261,261,107,7,214,328,,,,,,,,,,,328,,,,,15,,,,,,8,8,,,,,,,,,,44,,,,,,3,,,,,,,38,,,,,,10,,8,,2,39,,,,,,38,11,27,,,28,,,,,,,11,8,,,36,,,,,,,,,36,2,,,,,,,2,,,85,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,,,"not specified (some of these GNs could be citro/serratia, and GPs could be streps - but they did not specify)",,,,no or unclear,yes,yes,yes,yes,yes,yes,yes,yes,no or unclear,low,8,yes,4.3% vs 42.5% ,,no,,,,,,,,,,Both,Y,,Y,Y
"Salamat MS, 2021",Acta Medica Philippina,03/12/2020,04/28/2020,Phillipines,LMIC,Asia,Western Pacific,Retrospective Cohort,Hospital,200,,56,median,89,all combined,yes,no,49,15,28,36,7,41,53,,13,,,Culture,"they didn't detail much - ""resp samples"", ""CRBSI"" etc in methods section",No,"blood, resp ",multiple,200,22,,,,,,yes,yes,no,,,22,22,8,20,,28,2,1,26,7,,,,,,,,,,,,4,,4,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,17,,17,,,,4,4,,,,1,1,,,,,1,1,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,149,yes,yes,yes,yes,yes,yes,yes,no or unclear,yes,yes,low,9,no,,,,,,,,,,,,,Co-infection,Y,,N,Y
"Sang L, 2021",Ann Palliat Med,01/18/2020,04/26/2020,China,LMIC,Asia,Western Pacific,Retrospective Cohort,Hospital ICU,190,Hospital ICU,62.7,Mean,62,Severe/Critical,Yes,No,,71,190,,,,40,,12,,,Culture,Secondary infection was defined as at least one or more positive culture result among a patientâ€™s specimens after ICU admission of more than 72 hours duration,No,"blood, resp, urine, other",multiple,190,,,,,,,Yes,Yes,Yes,,,,,551,0,279,830,103,43,705,503,,,,,22,5,,,,,,6,,6,,,,6,6,,,,,,,,,,30,17,4,9,,,,,,,,,,53,0,53,,,,49,,,,49,271,37,230,,,4,256,,256,,,19,0,17,,,2,3,,3,,,241,11,227,,,3,237,,,237,,,,,,,,,,,43,33,9,1,,,,,,,,,,,,,,109,2,104,,,3,,,,,,,,,,,,,,,,,,,,,,,51,7,,,,117,,151,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,low,8,No,,,,,,,,,,,,,Secondary,N,,Y,Y
"Sarikaya B, 2020",Bezmialem Science,03/10/2020,05/10/2020,Turkey,LMIC,Asia,Europe,Retrospective Cohort,Hospital,179,,60.9,Mean,59,All combined,Yes,No,,69,77,,15,42,52,,5,,,Culture,"""secondary infection = bacteremia that develops in follow-up after hospitalization""",No,blood,blood,179,,25,,,,,No,No,No,,,25,25,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,moderate,7,Yes,OR for mortality 3.6 (1.5 to 8.6),N/A,No,,,,,,,,,,Secondary,Y,,N,N
"Scott H, 2021",Am J Emerg Med,02/01/2020,05/01/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,1389,,61,Mean,590,All combined,Yes,No,,,327,,,,,,,,,Culture + Urine Ag,The primary outcome was the presence of a culture or antigen confirmed bacterial infection.,Yes,"blood, resp",multiple,1389,28,88,,,,,Yes,No,No,,,116,116,,,133,133,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,21,,,,,,,,,,,37,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,low,8,No,,,,,,,,,,,,,Both,Y,,N,N
"Senok A, 2021",Infect Drug Resist,02/01/2020,07/31/2020,United Arab Emirates,HIC,Asia,Eastern Mediterranean,Retrospective Cohort,Hospital,29802,,,,,All combined,Yes,No,,,,,,,,,,,,Culture + NAAT,"sounds like ""per CLSI"" meant usual blood culturing, but also did biofire resp and pneumonia panels",No,"resp, blood, urine, other",multiple,29802,,,392,,,,yes,yes,No,,,392,392,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No or unclear,yes,yes,yes,yes,No or unclear,No or unclear,No or unclear,Yes,No or unclear,moderate,5,No,,,,,,,,,,,,,Unspecified,Y,,N,Y
"Sepulveda J, 2020",Journal of Clinical Microbiology,01/01/2020,03/31/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,4478,,,not reported,,All combined,Yes,No,,,,,,,,,,,,Culture,bacteremia,No,blood,blood,4478,170,,,,,,Yes,Yes,No,,,170,170,5,16,176,197,197,"4 MRSA,1 VRE",,,,,,,,,,,,,,11,11,,,,,4,4,,,,,,,,,,3,3,,,,,1,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,118,118,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,5,29,,,"CNST=118, Bacillus non anthracis=9, Coryne=5, Enterobacter=6, micrococcus 5, E faecalis=2, fusobacterium=2, lactobacillus =2, salmonella=2, Strep spp= 8, Actinomyces=1, Aeroccoccus=1, Comamonoas=1, Dolosigranulum=1, Globulicatella=1, Granulicatella=1, Kocuria=1, Moraxella=1, propionibacterium=1, Rothia=1",,,,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,8,No,-,-,-,,,,,,,,,,Co-infection,Y,,N,Y
"Shafran N, 2021",Sci Rep,not stated,02/01/2021,Israel,HIC,Asia,Europe,Retrospective Cohort,Hospital,642,,68,Median,262,All combined,Yes,No,,,123,,,,,,,,,Culture,Only patients for whom blood and/or sputum/bronchoalveolar lavage (BAL) cultures were taken upon admission or during hospitalization were included in the study,No,"blood, sputum",multiple,642,,,81,,,,Yes,No,No,,,81,81,,,123,123,,,,,,,,,,,,,,,,18,,,,,,,,,3,,,,,,,,7,,,,,,,7,,,,,,20,,,,,,,,,,,10,,,,,,,,,,,14,,,,,,,,,,,12,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,10,3,,,,,,No or unclear,No or unclear,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,6,Yes,"one co-infection/secondary infection was associated with 2.58 OR of mortality (1.16, 5.29)",N/A,"Yes -  adjuste for age, minimal blood oxygen saturation, maximal CRP and minimal albumin levels",,,,,,,2.58,1.16,5.29,Unspecified,Y,Y,N,N
"Sharma B, 2021",Qatar Med J,05/01/2020,10/31/2020,India,LMIC,Asia,South-East Asia,Propsective Cohort,Hospital,1844,,,,,all combined,yes,no,,,373,,,,,,,,,Culture,"clinical specimens - blood, resp (tracheal aspirate and sputum), various sterile body fluids, and CSF. bacterial culture/MALDI performed w sensis",no,"resp, blood, other",multiple,1844,38,108,,,,,yes,yes,yes,74,,72,146,74,,72,146,74,,63,,,,,,6,,0,,,,,13,6,4,,,3,5,5,,,,,,,,,,7,7,,,,,3,,,,,,,16,9,7,,,,8,,8,1,,26,11,14,,,1,18,18,17,2,,13,9,2,,,2,7,7,6,0,,51,23,28,,,,40,40,9,40,,,,,,,,,,,0,,,,1,0,1,,,,,,,,,,,5,1,4,,,,,,,,,,,,,,,1,1,0,,,,,,,,,10,0,,,"burkholderia=6, providencia=2, pandoraea=1, morganella=1",,,1383,no or unclear,yes,yes,yes,yes,no or unclear,yes,no or unclear,yes,no or unclear,moderate,6,yes,"of those with cx sent (n=814), bacterial infection=53.4% vs no infx=24%",N/A,no,,,,,,,,,,Both,Y,,Y,Y
"Sharov KS, 2020",JoGH,03/02/2020,05/05/2020,Russia,LMIC,Asia,Europe,Retrospective Cohort,Hospital/Outpatient,1351,,,age not reported,,All combined,Yes,No,,,,,,,,,,,,Culture + Urine Ag,"BAL, blood and urine samples. Bacterial aetiological agents were revealed in sputum samples by cultural (inoculation) techniques with a  following biochemical identification and biochemical tests and/or antigen detection in blood and/or urine samples",Yes,resp,resp,1351,194,300,,,,,Yes,No,No,,,494,494,,,494,494,,,494,,,,,,,,,,41,38,,110,,110,,,,,,,143,,143,,,,,,,,,,,,,99,,99,,,,,,,,,,,,,,,12,,12,,,,,,,,,51,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No or unclear,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,moderate,7,Yes,"The overwhelming majority of mortalities in Set 1, viz. 52 of 64 cases (81.25%) were directly or indirectly associated with primary or secondary bacterial pneumonias. ....Therefore, the proportion of mortality in the group of bacterial-complicated pneumonias is twice aslarge in comparison with mortality in broad samplingsof SARS-CoV-2-related pneumonias (8.16% in Set 1 and 7.39% in Set 2)",,No,,,,,,,,,,Both,Y,,N,N
"Shukla B, 2021",Emerg Infect Dis,03/25/2020,10/27/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,918,,69,Median,442,All combined,Yes,No,,160,227,,,,,,,,,Culture,blood culture,Yes,blood,blood,918,,50,,,,,Yes,Yes,No,3,,47,50,3,,65,68,68,3,,,,,,,,,,,,,,3,3,,,,,3,3,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,1,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,3,36,,,536,,,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,7,Yes,,,,,,,,,,,,,Secondary,Y,,N,Y
"Signorini L, 2021",Crit Care Explor,02/21/2020,05/06/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,92,Hospital ICU with ARDs,62,Median,12,Critical,Yes,No,92,92,92,,,,,,,,,Culture,"BAL culture, blood culture, urine culture",Yes,"resp, blood, urine",multiple,92,,53,,,,,Yes,Yes,No,,,53,53,5,,84,89,16,,73,,,,,,,,,,,,,3,,3,,,,,,,2,,,,,,,,17,6,11,,,,,,,,,,,26,,26,,,,5,,,,5,6,,6,,,,,,,,,3,,3,,,,,,,,,4,,4,,,,,,,,2,,2,,,,,,,,8,8,,,,,,,,,,,,,,,,14,,14,,,,,1,,1,,,,,,,2,,,,,,,,,,,,1,,,,1=Morganella morganii,90,,81,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,9,Yes,ICU and the 28-day mortality rates were also higher in patients with superinfection (45.3% vs 10.3%; p < 0.001),"ICU-LOS was significantly longer in patients with superinfection (median [IQR], 15.0 d [9.5â€“20.5]) than in patients without (median [IQR], 5.0 d [2.0â€“8.0]), whereas HLOS was not.",No,,,,,,,,,,Secondary,Y,,N,Y
